Drug ID,Drug Name,Discription
DB00288,Amcinonide,Amcinonide is a corticosteroid.;;;;
DB00289,Atomoxetine,"Atomoxetine is a selective norepinephrine (NE) reuptake inhibitor used for the treatment of attention deficit hyperactivity disorder (ADHD). Also known as the marketed product Strattera, atomoxetine is used with other treatment modalities (psychological, educational, cognitive behaviour therapy, etc) to improve developmentally inappropriate symptoms associated with ADHD including distractibility, short attention span, hyperactivity, emotional lability, and impulsivity. Although the underlying pathophysiology that causes ADHD remains unclear, evidence suggests that dysregulation in noradrenergic and dopaminergic pathways plays a critical role in suboptimal executive functioning within prefrontal regions of the brain, which are involved in attention and memory.[A178090] Atomoxetine has been shown to specifically increase NA and DA within the prefrontal cortex, but not in the nucleus accumbens (NA) or striatum.[A18262] This is beneficial in the treatment of ADHD as DA activation in the subcortical NA and striatum is associated with many stimulant-associated side effects and an increase in abuse potential, which is a limiting factor associated with the use of stimulant medications such as [DB00422], [DB01576], and [DB01255].[A18262] Use of non-stimulant medications such as atomoxetine is therefore thought to offer a clinical advantage over the use of traditional medications for the management of ADHD. More recently, positron emission tomography (PET) imaging studies in rhesus monkeys have shown that atomoxetine also binds to the serotonin transporter (SERT),[A178111] and blocks the N-methyl-d-aspartate (NMDA) receptor,[A18263] indicating a role for the glutamatergic system in the pathophysiology of ADHD. ;;;;"
DB00290,Bleomycin,"A complex of related glycopeptide antibiotics from <i>Streptomyces verticillus</i> consisting of bleomycin A2 and B2 (B2 CAS # 9060-10-0). It inhibits DNA metabolism and is used as an antineoplastic, especially for solid tumors. Bleomycin A2 is used as the representative structure for Bleomycin.;;;;"
DB00291,Chlorambucil,"A nitrogen mustard alkylating agent used as antineoplastic agent for the treatment of various malignant and nonmalignant diseases. Although it is less toxic than most other nitrogen mustards, it has been listed as a known carcinogen in the Fourth Annual Report on Carcinogens (NTP 85-002, 1985). (Merck Index, 11th ed);;;;"
DB00292,Etomidate,"Imidazole derivative anesthetic and hypnotic with little effect on blood gases, ventilation, or the cardiovascular system. It has been proposed as an induction anesthetic.;;;;"
DB00293,Raltitrexed,"Raltitrexed (brand name Tomudex&reg;) is a chemotherapy drug manufactured AstraZeneca Company, is an antimetabolite used in chemotherapy. It is an inhibitor of thymidylate synthase.;;;"
DB00294,Etonogestrel,Etonogestrel molecule is a 3-ketodesogestrel or 19-nortestosterone which is a synthetic biologically active metabolite of progestin desogestrel.[A37184] The first product including etonogestrel was developed by the Merck subsidiary Organon and FDA approved in 2001.[L5692];;;;
DB00295,Morphine,"Morphine, the main alkaloid of opium, was first obtained from poppy seeds in 1805.[A176035] It is a potent analgesic, though its use is limited due to tolerance, withdrawal, and the risk of abuse.[A176050] Morphine is still routinely used today, though there are a number of semi-synthetic opioids of varying strength such as [codeine], [fentanyl], [methadone], [hydrocodone], [hydromorphone], [meperidine], and [oxycodone].;;;;"
DB00296,Ropivacaine,"Ropivacaine is an aminoamide local anesthetic drug marketed by AstraZeneca under the trade name Naropin. It exists as a racemate of its S- and R-enantiomers, although the marketed form is supplied only as the purified S-enantiomer.[L42140];;;;"
DB00297,Bupivacaine,Bupivacaine is a widely used local anesthetic agent.;;;;
DB00298,Dapiprazole,Dapiprazole (U.S. trade name Rev-Eyes) is an alpha blocker. It is found in ophthalmic solutions used to reverse mydriasis after an eye examination.;;;;
DB00299,Penciclovir,"Penciclovir is a synthetic acyclic guanine derivative with antiviral activity used for the treatment of various herpes simplex virus (HSV) infections. Displaying low toxicity and good selectivity, penciclovir is a nucleoside analogue.;;;;"
DB00300,Tenofovir disoproxil,"Tenofovir disoproxil fumarate (a prodrug of tenofovir), marketed by Gilead Sciences under the trade name _Viread_, belongs to a class of antiretroviral drugs known as nucleotide analogue reverse transcriptase inhibitors (nRTIs).  This drug is prescribed in combination with other drugs for the management of HIV infection as well as for Hepatitis B therapy. Tenofovir disoproxil was initially approved in 2001 [FDA label].;;;;"
DB00301,Flucloxacillin,Antibiotic analog of [cloxacillin].;;;;
DB00302,Tranexamic acid,Tranexamic acid is a synthetic derivative of [lysine] used as an antifibrinolytic in the treatment and prevention of major bleeding. It possesses a similar mechanism of action to [aminocaproic acid] but is approximately 10-fold more potent.[L31883];;;;
DB00303,Ertapenem,Ertapenem is a carbapenem antibiotic drug that is marketed under the trade name Invanz by Merck & Co. pharmaceutical company. It is structurally similar to [meropenem] and possesses a 1-beta-methyl group.;;;;
DB00304,Desogestrel,"Desogestrel, a prodrug, is a third generation progestogen[A176315] and hence, a member of the gonane family which was largely used in Europe before being approved in the US and Canada.[A176339] It was firstly generated from a study that showed that 11-beta and 11-alkylidene substituent in nortestosterone can enhance the biological activity.[T521] Desogestrel is now produced semi-synthetically from naturally occurred plant steroids.[F4127] In the US, desogestrel is found only in combination with [ethinyl estradiol].[A176342] The first approved drug containing desogestrel was developed by Organon USA Inc in 1972 and FDA approved in 1992.[L5762];;;;"
DB00305,Mitomycin,"Mitomycin is an antineoplastic antibiotic first isolated by Japanese microbiologists in the 1950s from cultures of _Streptomyces caespitosus_.[L12867,A193419] It is an alkylating agent that inhibits DNA synthesis (and, at higher concentrations, RNA and protein synthesis) by cross-linking the complementary strands of the DNA double helix.[A193419] Few other antibiotics have been discovered that work via this alkylating mechanism, making mitomycin relatively unique in the space of microbiota-derived therapies.[A193419];;;;"
DB00306,Talbutal,"Talbutal, also called 5-allyl-5-sec-butylbarbituric acid, is a barbiturate with a short to intermediate duration of action. Talbutal is a schedule III drug in the U.S.;;;;"
DB00307,Bexarotene,"Bexarotene (Targretin) is an antineoplastic agent indicated by the FDA for Cutaneous T cell lymphoma. It has been used off-label for lung cancer, breast cancer, and Kaposi's sarcoma.;;;;"
DB00308,Ibutilide,Ibutilide is a Class III antiarrhythmic agent available in intravenous formulations. It is indicated for the conversion of acute atrial flutter and recent onset atrial fibrillation to normal sinus rhythm (NSR).;;;;
DB00309,Vindesine,Vinblastine derivative with antineoplastic activity against cancer. Major side effects are myelosuppression and neurotoxicity. Vindesine is used extensively in chemotherapy protocols (antineoplastic combined chemotherapy protocols).;;;;
DB00310,Chlorthalidone,"Chlorthalidone is a thiazide-like diuretic used for the treatment of hypertension and for management of edema caused by conditions such as heart failure or renal impairment. Chlorthalidone improves blood pressure and swelling by preventing water absorption from the kidneys through inhibition of the Na+/Cl− symporter in the distal convoluted tubule cells in the kidney. The exact mechanism of chlorthalidone's anti-hypertensive effect is under debate, however, it is thought that increased diuresis results in decreased plasma and extracellular fluid volume, decreased cardiac output and therefore overall reduction in blood pressure.[A176324];;;;"
DB00311,Ethoxzolamide,"Ethoxzolamide is a sulfonamide used as diuretic and in glaucoma. It inhibits carbonic anhydrase activity in proximal renal tubules to decrease reabsorption of water, sodium, potassium, bicarbonate. Its pharmacological activity thus confers the risk for hypokalemia.;;;;"
DB00312,Pentobarbital,"A short-acting barbiturate that is effective as a sedative and hypnotic (but not as an anti-anxiety) agent and is usually given orally. It is prescribed more frequently for sleep induction than for sedation but, like similar agents, may lose its effectiveness by the second week of continued administration. (From AMA Drug Evaluations Annual, 1994, p236);;;;"
DB00313,Valproic acid,"Valproic acid, or valproate, is an fatty acid derivative and anticonvulsant originally synthesized in 1881 by Beverly S. Burton.[A178051] It enjoyed use as a popular organic solvent in industry and pharmaceutical manufacturing for nearly a century. In 1963, a serendipitous discovery was made by George Carraz during his investigations into the anticonvulsant effects of khelline when he found that all of his samples, dissolved in valproic acid, exerted a similar degree of anticonvulsive activity. It first received approval on February 28, 1978 from the FDA under the trade name Depakene.[L6190];;;;"
DB00314,Capreomycin,Cyclic peptide antibiotic similar to viomycin. It is produced by Streptomyces capreolus.;;;;
DB00315,Zolmitriptan,"Zolmitriptan is a member of the triptan class of 5-hydroxytryptamine(5-HT)<sub>1B/1D/(1F)</sub> receptor agonists used to treat acute migraine.[A462, L12978] [Sumatriptan] was the first triptan to be developed, but had poor oral bioavailability and lipophilicity. This led to the development of second-generation triptans, including [almotriptan], [eletriptan], [frovatriptan], [naratriptan], [rizatriptan], and zolmitriptan.[A193791] Triptans can be administered alone or in combination with an NSAID like [naproxen], and represent the current ""gold standard"" for acute migraine treatment.[A193797];;;;"
DB00316,Acetaminophen,"Acetaminophen (paracetamol), also commonly known as _Tylenol_, is the most commonly taken analgesic worldwide and is recommended as first-line therapy in pain conditions by the World Health Organization (WHO).[A176318] It is also used for its antipyretic effects, helping to reduce fever.[F4124] This drug was initially approved by the U.S. FDA in 1951 and is available in a variety of forms including syrup form, regular tablets, effervescent tablets, injection, suppository, and other forms.[L5756,L5774,F4124,Label];;;;"
DB00317,Gefitinib,"Gefitinib (originally coded ZD1839) is a drug used in the treatment of certain types of cancer. Acting in a similar manner to erlotinib (marketed as Tarceva), gefitinib selectively targets the mutant proteins in malignant cells. It is marketed by AstraZeneca under the trade name Iressa.;;;;"
DB00318,Codeine,"The relief of pain (analgesia) is a primary goal for enhancing the quality of life of patients and for increasing the ability of patients to engage in day to day activities. Codeine, an opioid analgesic, was originally approved in the US in 1950 and is a drug used to decrease pain by increasing the threshold for pain without impairing consciousness or altering other sensory functions. Opiates such as codeine are derived from the poppy plant, _Papaver somniferum_ (Papaveraceae).[A175096];;;;"
DB00319,Piperacillin,"Semisynthetic, broad-spectrum, ampicillin derived ureidopenicillin antibiotic proposed for pseudomonas infections. It is also used in combination with other antibiotics.;;;;"
DB00320,Dihydroergotamine,"A 9,10alpha-dihydro derivative of [ergotamine]. Dihydroergotamine is used as an abortive therapy for migraines.[L38469] Its use has largely been supplanted by triptans in current therapy due to the class's greater selectivity and more favourable side effect profile.;;;;"
DB00321,Amitriptyline,"Amitriptyline hydrochloride, also known as _Elavil_,  is a tricyclic antidepressant (TCA) with analgesic properties, widely used to treat depression and neuropathic pain [A174658].  It was originally approved by the FDA in 1977 and manufactured by Sandoz [L5308].;;;;"
DB00322,Floxuridine,"An antineoplastic antimetabolite that is metabolized to fluorouracil when administered by rapid injection. Floxuridine is available as a sterile, nonpyrogenic, lyophilized powder for reconstitution. When administered by slow, continuous, intra-arterial infusion, it is converted to floxuridine monophosphate. It has been used to treat hepatic metastases of gastrointestinal adenocarcinomas and for palliation in malignant neoplasms of the liver and gastrointestinal tract.;;;;"
DB00323,Tolcapone,"Tolcapone is a drug that inhibits the enzyme catechol-O-methyl transferase (COMT). It is used in the treatment of Parkinson's disease as an adjunct to levodopa/carbidopa medication. It is a yellow, odorless, non-hygroscopic, crystalline compound. Tolcapone is associated with a risk of hepatotoxicity.;;;;"
DB00324,Fluorometholone,"A glucocorticoid employed, usually as eye drops, in the treatment of allergic and inflammatory conditions of the eye. It has also been used topically in the treatment of various skin disorders. (From Martindale, The Extra Pharmacopoeia, 30th ed, p732);;;;"
DB00325,Nitroprusside,"Nitroprusside serves as a source of nitric oxide, a potent peripheral vasodilator that affects both arterioles and venules (venules more than arterioles). Nitroprusside is often administered intravenously to patients who are experiencing a hypertensive emergency.;;;;"
DB00326,Calcium glucoheptonate,"Calcium supplements such as calcium gluceptate are taken by individuals who are unable to get enough calcium in their regular diet or who have a need for more calcium. They are used to prevent or treat several conditions that may cause hypocalcemia (not enough calcium in the blood). The body needs calcium to make strong bones. Calcium is also needed for the heart, muscles, and nervous system to work properly.;;;;"
DB00327,Hydromorphone,"Hydromorphone is a pure opioid,[A176468] a semi-synthetic hydrogenated ketone derivative of [morphine] that has been available clinically since 1920. Structurally, hydromorphone derived from [morphine] in the modification of the hydroxyl group in the carbon 6 to a carbonyl and the absence of a double bond between the carbon 7 and 8. Due to these modifications, it presents a very high potency and comparable side effect profile to the parent compound.[A176471] Even though hydromorphone does not present a 6-hydroxyl group, it is categorized under the family of phenanthrenes and it is considered a chemical under the schedule II (medical purposes with high addiction potential).[A176495];;;;"
DB00328,Indomethacin,"Indometacin, or indomethacin, is a non-steroidal anti-inflammatory drug (NSAID) with anti-inflammatory, analgesic, and antipyretic properties. NSAIDs consist of agents that are structurally unrelated; the NSAID chemical classification of indometacin is an indole-acetic acid derivative with the chemical name 1- (p-chlorobenzoyl)25-methoxy-2-methylindole-3-acetic acid.[A177871] The pharmacological effect of indometacin is not fully understood, however, it is thought to be mediated through potent and nonselective inhibition of the enzyme cyclooxygenase (COX), which is the main enzyme responsible for catalyzes the rate-limiting step in prostaglandin and thromboxane biosynthesis via the arachidonic acid (AA) pathway. Indometacin was first discovered in 1963 and it was first approved for use in the U.S. by the Food and Drug Administration in 1965, [A486] along with other acetic acid derivatives such as [diclofenac] and [sulindac] that were also developed during the 1960s.[A177871] Since then, indometacin has been extensively studied in clinical trials as one of the most potent NSAIDs in blocking prostaglandin synthesis and was among the first NSAIDs to be used in the symptomatic treatment of migraine and for headaches that eventually became known as “indomethacin-responsive” headache disorders.[A177871] ;;;"
DB00330,Ethambutol,"Ethambutol is a bacteriostatic agent indicated alongside medications such as [isoniazid], [rifampin], and [pyrazinamide] in the treatment of pulmonary tuberculosis.[L31743] Ethambutol was first described in the literature in 1961.[A229048] It was developed out of a need for therapies active against isoniazid resistant strains of _Mycobacterium tuberculosis_.[A229048];;;;"
DB00331,Metformin,"Metformin is a biguanide antihyperglycemic agent and first-line pharmacotherapy used in the management of type II diabetes.[L12207,A176173] ;;;;"
DB00332,Ipratropium,Ipratropium is a quaternary ammonium derivative of [atropine][A176957] that acts as an anticholinergic agent.[A176939] It is commonly administered through inhalation which allows producing a local effect without presenting a significant systemic absorption.[A176957];;;;
DB00333,Methadone,"Methadone is a potent synthetic analgesic that works as a full µ-opioid receptor (MOR) agonist and N-methyl-d-aspartate (NMDA) receptor antagonist. As a full MOR agonist, methadone mimics the natural effects of the body's opioids, endorphins, and enkephalins through the release of neurotransmitters involved in pain transmission. It also has a number of unique characteristics that have led to its increased use in the last two decades; in particular, methadone has a lower risk of neuropsychiatric toxicity compared to other opioids (due to a lack of active metabolites), minimal accumulation in renal failure, good bioavailability, low cost, and a long duration of action.[F4685,F4688,F4691,A185885,A185900,A185903] ;;;"
DB00334,Olanzapine,"Olanzapine is a thienobenzodiazepine classified as an atypical or second-generation antipsychotic agent.[A176996] The second-generation antipsychotics were introduced in the 90s and quickly gained traction due to their impressive efficacy, reduced risk for extrapyramidal side effects and reduced susceptibility to drug-drug interactions.[A177011] Olanzapine very closely resembles [clozapine] and only differs by two additional methyl groups and the absence of a chloride moiety.[T554] It was discovered by scientists at Eli Lilly and approved to be marketed in the US in 1996.[T548];;;;"
DB00335,Atenolol,Atenolol is a cardioselective beta-blocker used in a variety of cardiovascular conditions. ;;;;
DB00336,Nitrofural,"Nitrofural or nitrofurazone is a topical anti-infective agent effective against gram-negative and gram-positive bacteria. It is used for superficial wounds, burns, ulcers, and skin infections. Nitrofural has also been administered orally in the treatment of trypanosomiasis.;;;;"
DB00337,Pimecrolimus,Pimecrolimus is an immunomodulating agent that was first marketed by Novartis under the trade name Elidel. It is now promoted in Canada by Galderma since early 2007. It is currently available as a topic cream used in the treatment of atopic dermatitis (eczema).;;;;
DB00338,Omeprazole,"Originally approved by the FDA in 1989, omeprazole is a _proton-pump inhibitor_, used to treat gastric acid-related disorders. These disorders may include gastroesophageal reflux disease (GERD), peptic ulcer disease, and other diseases characterized by the oversecretion of gastric acid.  This drug was the first clinical useful drug in its class, and its approval was followed by the formulation of many other proton pump inhibitor drugs [A174232]. Omeprazole is generally effective and well-tolerated, promoting its popular use in children and adults [FDA label].;;;;"
DB00339,Pyrazinamide,A pyrazine that is used therapeutically as an antitubercular agent.;;;;
DB00340,Metixene,Metixene (or methixene) is a anticholinergic used as an antiparkinsonian agent.;;;;
DB00341,Cetirizine,"Cetirizine, also commonly known as _Zyrtec_, is an orally active second-generation histamine H1 antagonist proven effective in the treatment of various allergic symptoms, such as sneezing, coughing, nasal congestion, hives, and other symptoms [A175051], [A175054]. ;;;;"
DB00342,Terfenadine,"In the U.S., Terfenadine was superseded by fexofenadine in the 1990s due to the risk of cardiac arrhythmia caused by QT interval prolongation.;;;;"
DB00343,Diltiazem,"Diltiazem is a benzothiazepine derivative with antihypertensive and vasodilating properties. Approved in 1982 by the FDA, it is a member of the non-dihydropyridine calcium channel blockers drug class. It works through various mechanisms of action, but it primarily works by inhibiting the calcium influx into cardiac and vascular smooth muscle during depolarization.[L10556] Compared to dihydropyridine drugs, such as [nifedipine], that preferentially act on vascular smooth muscle and [verapamil] that directly acts on the heart muscle, diltiazem displays an intermediate specificity to target both the cardiac and vascular smooth muscle.[T28] Being a potent vasodilator, diltiazem is used clinically as an antihypertensive, anti-arrhythmic, and as an anti-anginal agent [L6289] for the management of cardiovascular conditions such as hypertension, chronic stable angina, atrial fibrillation, atrial flutter. Apart from its main FDA-approved indications, diltiazem has also been used for numerous off-label indications, such as anal fissures (in topical formulations), migraine prophylaxis, pulmonary hypertension, and rest-related cramps in the lower extremities.[L6289] Typically available in extended-release oral and intravenous formulations, diltiazem is marketed under various brand names with Cardizem and Tiazac being the most common ones.;;;;"
DB00344,Protriptyline,"Protriptyline hydrochloride is a dibenzocycloheptene-derivative tricyclic antidepressant (TCA). TCAs are structurally similar to phenothiazines. They contain a tricyclic ring system with an alkyl amine substituent on the central ring. In non-depressed individuals, protriptyline does not affect mood or arousal, but may cause sedation. In depressed individuals, protriptyline exerts a positive effect on mood. TCAs are potent inhibitors of serotonin and norepinephrine reuptake. In addition, TCAs down-regulate cerebral cortical &beta;-adrenergic receptors and sensitize post-synaptic serotonergic receptors with chronic use. The antidepressant effects of TCAs are thought to be due to an overall increase in serotonergic neurotransmission. TCAs also block histamine H<sub>1</sub> receptors;;;"
DB00345,Aminohippuric acid,The glycine amide of 4-aminobenzoic acid. Its sodium salt is used as a diagnostic aid to measure effective renal plasma flow (ERPF) and excretory capacity. [PubChem];;;;
DB00346,Alfuzosin,"Benign prostatic hyperplasia (BPH) refers to a benign growth or hyperplasia of the prostate and leads to lower urinary tract symptoms in men, such as urgency, frequency and changes to urine flow. The prevalence of BPH is as high as 50%-60% for males in their 60's, and this prevalence increases to 80%-90% of those over 70.[A228483] Alfuzosin is an alpha-1 adrenergic blocker used in the symptomatic treatment of BPH that works by relaxing the muscles in the prostate and bladder neck.[L31593] It was initially approved by the FDA in 2003 and is marketed by several pharmaceutical companies.[L9251];;;;"
DB00347,Trimethadione,"An anticonvulsant effective in absence seizures, but generally reserved for refractory cases because of its toxicity. (From AMA Drug Evaluations Annual, 1994, p378);;;;"
DB00348,Nitisinone,Nitisinone is a synthetic reversible inhibitor of 4-hydroxyphenylpyruvate dioxygenase. It is used in the treatment of hereditary tyrosinemia type 1. It is sold under the brand name Orfadin.;;;;
DB00349,Clobazam,"Clobazam belongs to the 1,5-benzodiazepine class of drugs and is expected to have a better side-effect profile compared to older 1,4-benzodiazepines. It has been marketed as an anxiolytic since 1975 and an anticonvulsant since 1984. The oral preparation was FDA approved on October 21, 2011. An oral suspension is expected to be available in 2013.;;;;"
DB00350,Minoxidil,A potent direct-acting peripheral vasodilator (vasodilator agents) that reduces peripheral resistance and produces a fall in blood pressure.;;;;
DB00351,Megestrol acetate,"17-Hydroxy-6-methylpregna-3,6-diene-3,20-dione. A progestational hormone used most commonly as the acetate ester. As the acetate, it is more potent than progesterone both as a progestagen and as an ovulation inhibitor. It has also been used in the palliative treatment of breast cancer.;;;;"
DB00352,Tioguanine,An antineoplastic compound which also has antimetabolite action. The drug is used in the therapy of acute leukemia.;;;;
DB00353,Methylergometrine,"A homolog of ergonovine containing one more CH2 group. (Merck Index, 11th ed);;;;"
DB00354,Buclizine,"Buclizine is an antihistamine medication with both antiemetic and anticholinergic effects [L6220], belonging to the _piperazine derivative_ family of drugs. It was manufactured by Stuart Pharms and initially approved by the FDA in 1957.[L6217] Following this, it was touted to be effective as an appetite stimulant in children when administered in the syrup form, however, this indication has not been validated.[A178102] In addition to the above conditions, buclizine has been studied in the treatment of migraine attacks and in the treatment of nausea and vomiting during pregnancy. [A178105, A178108];;;;"
DB00355,Aztreonam,"A monocyclic beta-lactam antibiotic originally isolated from Chromobacterium violaceum. It is resistant to beta-lactamases and is used in gram-negative infections, especially of the meninges, bladder, and kidneys. It may cause a superinfection with gram-positive organisms.;;;;"
DB00356,Chlorzoxazone,"A centrally acting central muscle relaxant with sedative properties. It is claimed to inhibit muscle spasm by exerting an effect primarily at the level of the spinal cord and subcortical areas of the brain. (From Martindale, The Extra Pharmacopoea, 30th ed, p1202);;;;"
DB00357,Aminoglutethimide,"An aromatase inhibitor that produces a state of ""medical"" adrenalectomy by blocking the production of adrenal steroids. It also blocks the conversion of androgens to estrogens. Aminoglutethimide has been used in the treatment of advanced breast and prostate cancer. It was formerly used for its weak anticonvulsant properties. (From Martindale, The Extra Pharmacopoeia, 30th ed, p454);;;;"
DB00358,Mefloquine,"Malaria is a protozoan disease that places an enormous burden on human health in endemic areas around the world. The 2020 World Health Organization malaria report indicates a 60% decrease in the global malaria fatality rate between 2000 to 2019.[L30618] Despite this, malaria remains a significant cause of morbidity and mortality; 90% of deaths from malaria occur in Africa. Individuals at the highest risk for malaria are those in disease naïve populations, children under age 5, refugees in Central and Eastern Africa, nonimmune civilian and military travelers, pregnant women, and immigrants traveling to their place of origin.[L30623];;;"
DB00359,Sulfadiazine,One of the short-acting sulfonamides used in combination with pyrimethamine to treat toxoplasmosis in patients with acquired immunodeficiency syndrome and in newborns with congenital infections.;;;;
DB00360,Sapropterin,Sapropterin (tetrahydrobiopterin or BH4) is a cofactor in the synthesis of nitric oxide. It is also essential in the conversion of phenylalanine to tyrosine by the enzyme phenylalanine-4-hydroxylase; the conversion of tyrosine to L-dopa by the enzyme tyrosine hydroxylase; and conversion of tryptophan to 5-hydroxytryptophan via tryptophan hydroxylase.;;
DB00361,Vinorelbine,"Vinorelbine is an anti-mitotic chemotherapy drug that is used in the treatment of several types of malignancies, including breast cancer and non-small cell lung cancer (NSCLC) [L1998].  It was initially approved in the USA in 1990's for the treatment of NSCLC [L2010].;;;;"
DB00362,Anidulafungin,"Anidulafungin or Eraxis is an anti-fungal drug manufactured by Pfizer that gained approval by the Food and Drug Administration (FDA) in February 21, 2006; it was previously known as LY303366. There is preliminary evidence that it has a similar safety profile to caspofungin.;;;"
DB00363,Clozapine,"A tricyclic dibenzodiazepine, classified as an atypical antipsychotic agent. It binds several types of central nervous system receptors, and displays a unique pharmacological profile. Clozapine is a serotonin antagonist, with strong binding to 5-HT 2A/2C receptor subtype. It also displays strong affinity to several dopaminergic receptors, but shows only weak antagonism at the dopamine D2 receptor, a receptor commonly thought to modulate neuroleptic activity. Agranulocytosis is a major adverse effect associated with administration of this agent.;;;;"
DB00364,Sucralfate,"Sucralfate is a medication that is widely used to prevent and treat a number of diseases in the gastrointestinal tract such as duodenal ulcers [FDA label], gastro-esophageal reflux disease (GERD), gastritis, peptic ulcer disease, stress ulcer, in addition to dyspepsia [A177655].  It is considered a _cytoprotective agent_, protecting cells in the gastrointestinal tract from damage caused by agents such as gastric acid, bile salts, alcohol, and acetylsalicylic acid (aspirin), among other substances [A177655, F4519].;;;;"
DB00365,Grepafloxacin,"Grepafloxacin is an oral broad-spectrum quinoline antibacterial agent used to treat bacterial infections. Due to the QTc-prolonging potential, as indicated by the changes in the QT interval on the electrocardiogram, and the risk for cardiovascular adverse events, grepafloxacin was withdrawn in the United States.;;;;"
DB00366,Doxylamine,"Histamine H1 antagonist with pronounced sedative properties. It is used in allergies and as an antitussive, antiemetic, and hypnotic. Doxylamine has also been administered in veterinary applications and was formerly used in parkinsonism.;;;;"
DB00367,Levonorgestrel,"Levonorgestrel (LNG) is a synthetic progestogen similar to [Progesterone] used in contraception and hormone therapy.[A181988,T659] Also known as Plan B, it is used as a single agent in emergency contraception, and as a hormonal contraceptive released from an intrauterine device, commonly referred to as an IUD. Some of these devices are known as Jaydess, Kyleena, and Mirena.  A subdermal implant of levonorgestrel that slowly releases the hormone over a long-term period is also available.[L7823]  In addition to the above uses, levonorgestrel is used as a component of long-term combination contraceptives.[A181991,L7760,L7778] ;;;;"
DB00368,Norepinephrine,Precursor of epinephrine that is secreted by the adrenal medulla and is a widespread central and autonomic neurotransmitter. Norepinephrine is the principal transmitter of most postganglionic sympathetic fibers and of the diffuse projection system in the brain arising from the locus ceruleus. It is also found in plants and is used pharmacologically as a sympathomimetic.;;;;
DB00369,Cidofovir,"Cidofovir is an injectable antiviral medication employed in the treatment of cytomegalovirus (CMV) retinitis in patients diagnosed with AIDS. It suppresses CMV replication through selective inhibition of viral DNA synthesis.[FDA label] It was manufactured by _Gilead_ and initially approved by the FDA in 1996, but has since been discontinued.[L6223];;;;"
DB00370,Mirtazapine,"Mirtazapine is a tetracyclic _piperazino-azepine_ antidepressant agent that was initially approved for the treatment of major depressive disorder (MDD) in the Netherlands in 1994.[A177946] This drug was first manufactured by Organon Inc., and received FDA approval in 1997 for the treatment of major depressive disorder.[T595, L6157] The effects of this drug may be observed as early as 1 week after beginning therapy.[A178144,L6160];;;;"
DB00371,Meprobamate,"A carbamate with hypnotic, sedative, and some muscle relaxant properties, although in therapeutic doses reduction of anxiety rather than a direct effect may be responsible for muscle relaxation. Meprobamate has been reported to have anticonvulsant actions against petit mal seizures, but not against grand mal seizures (which may be exacerbated). It is used in the treatment of anxiety disorders, and also for the short-term management of insomnia but has largely been superseded by the benzodiazepines. (From Martindale, The Extra Pharmacopoeia, 30th ed, p603) Meprobamate is a controlled substance in the U.S.;;;;"
DB00372,Thiethylperazine,"A dopamine antagonist that is particularly useful in treating the nausea and vomiting associated with anesthesia, mildly emetic cancer chemotherapy agents, radiation therapy, and toxins. This piperazine phenothiazine does not prevent vertigo or motion sickness. (From AMA Drug Evaluations Annual, 1994, p457);;;;"
DB00373,Timolol,"Timolol is a nonselective beta-adrenergic antagonist given in an eye drop solution to reduce intraocular pressure, or pressure in the eyes.[L6724] It is also used in tablet form as a drug to treat hypertension.[L6727] Timolol was first approved by the FDA in 1978.[L6724] This drug is marketed by several manufacturers [L6736] and is an effective agent for the management of conditions such as open-angle glaucoma and hypertension.;;;;"
DB00374,Treprostinil,"Treprostinil is a stable tricyclic analogue of prostacyclin[A248770] that promotes the vasodilation of pulmonary and systemic arterial vascular beds and the inhibition of platelet aggregation.[L41855,L41860,L41865] It reduces symptoms in patients with pulmonary arterial hypertension (PAH) and pulmonary hypertension associated with interstitial lung disease.[L41855,L41860] The first agent approved for the treatment of PAH was [epoprostenol], a synthetic prostacyclin that significantly increases patients' quality of life. However, the use of epoprostenol is limited due to its short half-life (3-5 min) and instability at room temperature.[A248770,A248775] The use of more stable alternatives such as treprostinil provides patients with PAH with more treatment options.;;;;"
DB00375,Colestipol,"Bile acid sequestrants like colestipol have been in use since the 1970s.[FDA Label, F4555, F4567, L6262] And even though such an agent may very well be useful in reducing elevated cholesterol levels and decreasing the risk for atherosclerotic vascular disease due to hypercholesterolemia, colestipol is still generally only employed as an adjunct therapy and the relatively physical nature of its pharmacological activity sometimes limits its usefulness.[FDA Label, F4555, F4567, L6262];;;;"
DB00376,Trihexyphenidyl,"Trihexyphenidyl is a centrally acting muscarinic antagonist used for treatment of parkinsonism and drug-induced extrapyramidal disorders.[L31773,L31778] Its discovery was published in 1949 in a study looking for drugs with antispasmodic activity.[A229103] Trihexyphenidyl is rarely used in the treatment of parkinsonism, and is not a first line treatment due to significant adverse effects.[L31843] It has largely been replaced by drugs such as [levodopa].[L31843];;;;"
DB00377,Palonosetron,"Palonosetron (INN, trade name Aloxi) is an antagonist of 5-HT3 receptors that is indicated for the prevention and treatment of chemotherapy-induced nausea and vomiting (CINV). It is the most effective of the 5-HT3 antagonists in controlling delayed CINV nausea and vomiting that appear more than 24 hours after the first dose of a course of chemotherapy and is the only drug of its class approved for this use by the U.S. Food and Drug Administration. As of 2008, it is the most recent 5-HT3 antagonist to enter clinical use.;;;;"
